very,,,totemo
snack,sweet,,okashi
flower,,,hana
fireworks,,,hanabi
ocean,beach,,umi
beach,,,biichi
really,truly,,hontouni
weather,,,tenki
little bit,dislike,,chotto
little bit,,,sukoshi
